ItemNum,source,url,block,new_rand_order,ItemText_Raw,Answer_Key,true_human_or_GPT4,reviewer1_human_or_GPT4,reviewer1_why,reviewer2_human_or_GPT4,reviewer2_why,reviewer3_human_or_GPT4,reviewer3_why,concensus_human_vs_GPT,correct_human_vs_GPT_concensus,reviewer1_time_required_in_minutes,reviewer1_is_gpt_qa_correct,reviewer1_is_gpt_qa_correct_1_word,reviewer1_is_gpt_exp_correct,reviewer1_is_gpt_exp_correct_1_word,reviewer2_time_required_in_minutes,reviewer2_is_gpt_qa_correct,reviewer2_is_gpt_qa_correct_1_word,reviewer2_is_gpt_exp_correct,reviewer2_is_gpt_exp_correct_1_word,reviewer3_time_required_in_minutes,reviewer3_is_gpt_qa_correct,reviewer3_is_gpt_qa_correct_1_word,reviewer3_is_gpt_exp_correct,reviewer3_is_gpt_exp_correct_1_word,consensus_is_gpt_qa_correct,consensus_reason
043H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,52,"A 75-year-old man comes to the clinic because of a 2-year history of progressive shortness of breath. He also has had an occasional dry cough for the past 6 months. He has not had chest pain, palpitations, or swelling of his legs. Medical history is unremarkable, and the patient takes no medications. He has smoked one pack of cigarettes daily for 57 years. He does not drink alcoholic beverages. Vital signs are temperature 37.0°C (98.6°F), pulse 92/min, respirations 18/min, and blood pressure 122/76 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 89%. The patient has mild dyspnea when he speaks. Auscultation of the lungs discloses fine and dry crackles in the bases of both lungs. Cardiac examination discloses a normal S1 and S2. No extra heart sounds are heard. Jugular venous pulsation is measured at 2 cm above the sternal angle with the head of the bed elevated at 30 degrees. Examination of the extremities shows clubbing of the digits of both hands. Results of complete blood count, serum chemistry profile, and urinalysis are within the reference ranges. Chest x-ray shows scattered reticular opacities in both lung bases. There is no hilar lymphadenopathy. Which of the following is the most appropriate next step in evaluation?

(A) Echocardiography
(B) High-resolution CT scan of the chest
(C) Lung biopsy
(D) Serum antiglomerular basement membrane antibody assay
(E) Thoracic PET scan",B,human,human,,GPT,just the flow of the question,human,,human,TRUE,,,,,,,,,,,,,,,,,
066G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,53,"A 35-year-old woman arrives at an urban emergency department (ED) with severe abdominal pain and vomiting for the past 6 hours. She is 20 weeks pregnant and has had no complications with her pregnancy so far. She has no other medical history and is not on any medications. Her vital signs are: temperature 38.2°C (100.8°F), pulse 110/min, blood pressure 105/65 mmHg, and respirations 20/min. On examination, she has diffuse abdominal tenderness and guarding. Laboratory tests reveal a white blood cell count of 15,000/mm³ and a serum beta-human chorionic gonadotropin (β-hCG) level within the normal range for her gestational age. The ED physician suspects acute appendicitis and consults the on-call general surgeon. The surgeon recommends immediate surgical intervention but learns that the patient has no health insurance. The surgeon then suggests that the patient be transferred to another hospital with a charity care program, 10 miles away. The patient is transferred and undergoes an appendectomy at the second hospital. Which of the following is the most accurate characterization of this patient's pattern of care?

(A) The patient received appropriate care under the circumstances
(B) The urban hospital violated the Emergency Medical Treatment and Active Labor Act (EMTALA)
(C) The general surgeon acted unethically but within legal limits
(D) The patient should have been sent to the second hospital directly
(E) The urban hospital should have provided non-surgical treatment options",B,GPT,human,,human,"if this is GPT, would be a flag that similar questions are in the training corpus, because asking about regulatory questions is rather specific",human,,human,FALSE,3,Yes,yes,Yes,yes,,,,,,,,,,,yes,
104H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,55,"A 57-year-old man comes to the physician because of a 1-month history of fatigue and moderate low back pain. He also has had a mildly decreased appetite resulting in a 1.8-kg (4-lb) weight loss during this period. He has a 1-week history of headache. He has had no fever, sweating, or chills. He has hypertension well controlled with triamterene-hydrochlorothiazide. Other medications include 81-mg aspirin, ibuprofen, and a daily multivitamin. He appears tired. Examination shows slightly pale conjunctivae. A grade 2/6 systolic flow murmur is heard best at the lower left sternal border. The remainder of the examination shows no abnormalities. Test of the stool for occult blood is negative. Laboratory studies show:

Hematocrit: 32%
Mean corpuscular volume: 102 μm³
Leukocyte count :9200/mm³
Segmented neutrophils: 66%
Bands: 3%
Lymphocytes: 31%
Platelet count: 325,000/mm3
Red cell distribution width: 15.6% (N=13%–15%)
Serum
Ca²⁺: 10.8 mg/dL
Urea nitrogen: 18 mg/dL
Glucose: 108 mg/dL
Creatinine: 1.5 mg/dL
Albumin: 3 g/dL

X-rays of the lumbosacral spine show mild osteopenia. Which of the following is the most appropriate next step in diagnosis?

(A) Serum protein electrophoresis
(B) Echocardiography
(C) Bone scan
(D) Colonoscopy
(E) Esophagogastroduodenoscopy",A,human,human,,GPT,subtle formatting issues,human,,human,TRUE,,,,,,,,,,,,,,,,,
086G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,58,"A 45-year-old man presents to the emergency department with a 2-day history of severe, crampy left lower abdominal pain, increased frequency of bowel movements, and a low-grade fever. He has a past medical history of hypertension and obesity. His current medications are lisinopril and hydrochlorothiazide. He is a non-smoker and drinks alcohol occasionally. He is 175 cm (5 ft 9 in) tall and weighs 102 kg (225 lb); BMI is 33 kg/m². Vital signs are: temperature 38.2°C (100.8°F), pulse 95/min, respirations 20/min, and blood pressure 130/85 mm Hg. On abdominal examination, there is tenderness to palpation in the left lower quadrant with no rebound or guarding. Bowel sounds are normal. Laboratory studies show:

Hematocrit: 41%
Leukocyte count: 14,000/mm³
Serum
Na⁺: 140 mEq/L
K⁺: 4.2 mEq/L
Cl⁻: 100 mEq/L
HCO₃⁻: 24 mEq/L
BUN: 18 mg/dL
Creatinine: 1.1 mg/dL
CRP: 30 mg/L (N < 10 mg/L)

Which of the following is the most appropriate next step in diagnosis?

(A) Abdominal X-ray
(B) Barium enema
(C) Colonoscopy
(D) CT scan of the abdomen with intravenous contrast
(E) Sigmoidoscopy",D,GPT,human,,GPT,seems weird to have a CRP,human,,human,FALSE,5,Yes,yes,Yes,yes,,,,,,,,,,,yes,
083G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,61,"A 36-year-old man presents to his primary care physician with a 3-month history of fatigue, muscle weakness, and recurrent episodes of nausea and vomiting. He also reports increased thirst and frequent urination. His past medical history is significant for hypertension and a kidney stone 2 years ago. His father has a history of hyperparathyroidism. The patient's vital signs are: temperature 36.7°C (98.1°F), pulse 95/min, respirations 16/min, and blood pressure 145/95 mm Hg. Physical examination is unremarkable except for mild proximal muscle weakness. Laboratory results show serum calcium concentration of 12.5 mg/dL, phosphate of 2.0 mg/dL, and an elevated parathyroid hormone level. The patient is most likely at risk for which of the following conditions?

(A) Familial hypocalciuric hypercalcemia
(B) Multiple endocrine neoplasia type 1 (MEN 1)
(C) Papillary thyroid carcinoma
(D) Primary aldosteronism
(E) Vitamin D toxicity",B,GPT,human,,GPT,seems like a human would add in the other MENs,human,,human,FALSE,8,Yes,yes,Yes,yes,,,,,,,,,,,yes,
045H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,63,"A 58-year-old man comes to the clinic for a follow-up examination 3 months after beginning warfarin therapy for deep venous thrombosis. He noted blood in his urine 1 week ago but has not seen any since that time. He has not had pain, fever, or increased urinary frequency. He has not sustained any recent trauma. His prothrombin time and INR have been within the therapeutic ranges during his previous measurements. He has hypertension and benign prostatic hyperplasia. Medications are warfarin and hydrochlorothiazide. He smoked one pack of cigarettes daily for 40 years but quit when diagnosed with deep venous thrombosis. Temperature is 35.9°C (96.6°F), pulse is 88/min, respirations are 18/min, and blood pressure is 135/87 mm Hg. The prostate is moderately enlarged; no nodules are noted.

Laboratory studies showed that the Prothrombin time is 19 sec (INR=2.5), serum Urea nitrogen is 18 mg/dL, serum Creatinine is 1 mg/dL, and Prostate-specific antigen is 3.8 ng/mL (N<4).

The laboratory result on urine showed the following: blood is 3+, protein is 1+, RBC is too numerous to count, WBC is 2/hpf, no casts, and negative for Nitrites and Leukocyte esterase.

In addition to a CT scan of the abdomen, which of the following is the most appropriate next step in management?

(A) Adjustment of the warfarin dosage to maintain an INR between 1.5 and 2.0
(B) Ciprofloxacin therapy
(C) Cystoscopy
(D) Discontinuation of hydrochlorothiazide therapy
(E) Finasteride therapy",C,human,human,,GPT,missing hemoglobin. case seems to jump a few steps,human,,human,TRUE,,,,,,,,,,,,,,,,,
089G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,64,"A 36-year-old woman presents to the clinic with a 6-month history of persistent non-bloody diarrhea, abdominal pain, and weight loss of 10 kg (22 lb). She reports having six to seven bowel movements daily, often accompanied by abdominal cramping. She has also noticed mouth ulcers and joint pain in her knees and wrists. She takes no routine medications. She is 167 cm (5 ft 6 in) tall and weighs 59 kg (130 lb); BMI is 21 kg/m². Vital signs are temperature 36.8°C (98.2°F), pulse 90/min, respirations 16/min, and blood pressure 122/78 mm Hg. Physical examination reveals oral ulcers and swelling of the wrists and knees. Abdominal examination demonstrates mild tenderness and increased bowel sounds. No skin lesions are observed. Laboratory tests show a low serum albumin level and an elevated erythrocyte sedimentation rate (ESR). Colonoscopy reveals discontinuous areas of inflammation and ulceration in the ileum, cecum, and ascending colon. Which of the following is the most likely diagnosis for this patient?

(A) Celiac disease
(B) Crohn's disease
(C) Diverticulitis
(D) Irritable bowel syndrome (IBS)
(E) Ulcerative colitis",B,GPT,human,,human,,GPT,"too straightforward for CK: this is a here are all the symptoms and signs of disease, what is it.",human,FALSE,3,Yes,yes,Yes,yes,,,,,,,,,,,yes,
032G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,66,"A 32-year-old man is brought to the emergency department after a motor vehicle accident. He has multiple injuries and is in severe pain. The trauma team is managing his care, which includes physicians, nurses, radiology technicians, and respiratory therapists. During the patient's initial assessment, the respiratory therapist notices that the patient's oxygen saturation is dropping and suspects a tension pneumothorax. However, the therapist is hesitant to interrupt the ongoing conversation between the physicians and nurses. Which of the following interventions is most likely to improve communication within this multidisciplinary trauma team?

(A) Assign a team leader to manage communication
(B) Encourage the use of hand signals for urgent issues
(C) Implement a standardized communication protocol for emergencies
(D) Schedule regular debriefings to discuss patient care",C,GPT,GPT,A and C are pretty similar - both are part of the recommendations.,human,,human,,human,FALSE,3,Yes,yes,Yes,yes,,,,,,1,Yes,yes,Yes,yes,yes,
099H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,67,"A clinical trial is performed to assess the efficacy of aspirin in decreasing the risk for myocardial infarction. Twenty-two thousand male physicians with no history of coronary artery disease are randomly assigned to receive aspirin (325 mg/d) or a placebo. After following the subjects for 5 years, results show that the incidence of myocardial infarction is 1.2% in the aspirin group and 2.2% in the placebo group. The reduction in incidence is statistically significant. Which of the following is the most accurate interpretation of these results?

(A) Absolute risk reduction is 1%
(B) Absolute risk reduction is 10%
(C) Number needed to treat is 4
(D) Number needed to treat is 25
(E) Relative risk reduction is 25%
(F) Relative risk reduction is 75%",A,human,human,,GPT,answer choices seem weird to me given the numbers used in the question lead someone to choose the most straightforward choice,human,,human,TRUE,,,,,,,,,,,,,,,,,
027H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,68,"A 64-year-old man comes to the clinic because of a 2-week history of severe pain and generalized muscle weakness. He has hypercholesteremia and hypertension. Three months ago, he had a myocardial infarction. At that time, he began atorvastatin therapy. Other medications are clopidogrel, lisinopril, and amiodarone. He is 178 cm (5 ft 10 in) tall and weighs 82 kg (180 lb); BMI is 26 kg/m². Pulse is 80/min and blood pressure is 125/67 mm Hg. Muscle strength is 4/5 on abduction of the shoulders and flexion of the hips. Deep tendon reflexes are 2+ throughout. No other abnormalities are noted. Measurement of which of the following is the most appropriate initial step in diagnosis?

(A) Erythrocyte sedimentation rate
(B) Serum ALT activity
(C) Serum calcium concentration
(D) Serum C-reactive protein concentration
(E) Serum creatine kinase activity",E,human,GPT,Where is severe pain located?,human,,human,,human,TRUE,,,,,,,,,,,,,,,,,
100H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,71,"An 18-year-old man is being prepared to undergo left temporal craniotomy for meningioma. General anesthesia has been administered. The surgeon reviews the patient's most recent MRI findings, which are hanging on a view box in the operating room, and prepares to clip the hair from the patient's right scalp. The circulating nurse is concerned because the signed operative consent form indicates a left temporal craniotomy. Which of the following is the most appropriate course of action for the circulating nurse?

(A) No action is required
(B) Review the MRI to determine the correct operative site
(C) Ask the surgeon to continue the operation only after the discrepancy is resolved
(D) Change the operative consent to match the surgeon's actions
(E) Call the waiting room to confirm the correct operative site with the patient's parents
(F) Write a postoperative incident report only",C,human,human,,GPT,view box..?,GPT,during neurosurgery or any surgery - typically the patient's surgical site is prepared before anesthesia and a timeout should have been ideally performed.,GPT,FALSE,,,,,,,,,,,,,,,,,
035G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,75,"A 28-year-old man presents to the emergency department with a 3-day history of progressive dyspnea and cough productive of yellow sputum. He has a history of asthma but denies fever or chest pain. His temperature is 37.2°C (99.0°F), pulse is 95/min, respirations are 28/min, and blood pressure is 130/85 mm Hg. Oxygen saturation on room air is 92%. Physical examination reveals bilateral wheezing and diminished breath sounds in the right lower lung field. Chest x-ray reveals a right lower lobe consolidation. Which of the following is the most appropriate next step in management?

(A) Administer intravenous corticosteroids
(B) Initiate broad-spectrum antibiotics
(C) Perform a bronchoscopy
(D) Start inhaled bronchodilators and oral corticosteroids
(E) Obtain sputum culture and Gram stain",B,GPT,human,,GPT,"would start bronchodilators, iv steroids, antibiotics all at the same time. not sure why this is asking to prioritize",human,,human,FALSE,2,Yes,yes,Yes,yes,,,,,,1,No; multiple best answers B&E should be done at the same time,no,No,no,50/50,Multiple correct answers
068G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,77,"A 45-year-old man presents to the clinic with a 3-day history of severe pain and swelling in his right great toe. The pain is sudden in onset, increases at night, and is aggravated by even slight movement or pressure. He denies any recent trauma or injury. He has a history of hypertension and type 2 diabetes mellitus. He is currently taking metformin and lisinopril. His temperature is 37.8°C (100°F), pulse is 78/min, and blood pressure is 145/92 mm Hg. Physical examination reveals a warm, erythematous, and swollen right great toe. Range of motion is limited due to pain. The remainder of the examination is unremarkable. Laboratory studies show an elevated serum uric acid level. Which of the following is the most appropriate initial management for this patient?

(A) Allopurinol therapy
(B) Colchicine therapy
(C) Indomethacin therapy
(D) Oral prednisone therapy
(E) Probenecid therapy
(F) RICE (rest, ice, compression, elevation) therapy",C,GPT,human,,GPT,why is joint aspiration not an option?,human,,human,FALSE,,,,,,6,"yes but steroids may also be the right answer here. When you read the guidelines/uptodate the answer here really could be steroids or NSAIDs (indomethacin) and colchicine is considered the alternative for both. This patient has diabetes with unknown level of control on metformin monotherapy. Diabetes itself is not a contraindication to use steroids for an acute gout flare and therefore, prednisone may also be appropriate in this scenario. I picked C because I figured there was a reason they mentioned diabetes in the stem.",no,"The explanation mentions that steroids are not considered first line therapy. However based on uptodate, ACR guidelines - steroids and NSAIDs are considered acceptable first line therapies depending on patient preference and factors. Colchicine is also considered acceptable BUT only if taken within the first 24 hours of a flare.",no,3,"No, multiple best answers, B and C would both be correct. The question did not specify whether the patient has kidney disease, which is very prevelant for patients with type 2 DM. In those situations, indomethacin would be contraindicated.",no,"No, cochicine can also be considered first-line",no,no,Multiple correct answers
065G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,81,"A 6-month-old girl is brought to the pediatrician's office by her mother, who reports that her daughter has been experiencing frequent episodes of wheezing and coughing, especially at night. The mother also mentions that her daughter's symptoms seem to worsen when she is near pets or when exposed to cold air. The infant was born at full term, and her growth and development have been normal. Her family history is significant for asthma in both her mother and older brother. On physical examination, the child's temperature is 36.7°C (98.1°F), pulse is 110/min, respirations are 40/min, and oxygen saturation is 95% on room air. The infant appears to be in mild respiratory distress with intercostal retractions. Auscultation of the lungs reveals bilateral expiratory wheezing. The rest of the examination is unremarkable. Which of the following is the most appropriate initial treatment for this patient?

(A) Intravenous corticosteroids
(B) Oral antibiotics
(C) Inhaled short-acting β2-agonist
(D) Inhaled corticosteroids
(E) Oxygen therapy",C,GPT,human,,GPT,pediatrician office is a weird place to continue treating this tenuous patient..,human,,human,FALSE,,,,,,3,yes,yes,yes,yes,,,,,,yes,
006G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,82,"A 36-year-old man presents to the emergency department with a 3-day history of severe diarrhea, abdominal pain, and low-grade fever. He recently returned from a 2-week vacation in a developing country, where he frequently consumed street food. On examination, he appears dehydrated, with a temperature of 38.3°C (100.9°F), pulse 110/min, and blood pressure 100/60 mm Hg. Abdominal examination reveals diffuse tenderness with no rebound or guarding. Stool culture shows growth of a gram-negative, rod-shaped bacterium. Which of the following is the most appropriate initial treatment for this patient?

(A) Azithromycin
(B) Ciprofloxacin
(C) Metronidazole
(D) Vancomycin
(E) Supportive care with hydration and electrolyte replacement",B,GPT,GPT,Stool cultures take days/weeks to grow. They don't get those results in the ER.,GPT,you can't get a stool culture to result this quickly.. the timing is illogical,human,,GPT,TRUE,,,,,,3,"no - fluoroquinolones had previously been the first choice of treatment for travelers diarrhea however due to increasing resistance worldwide, azithromycin is now the first line choice",no,no - historically it was true but not anymore,no,5,"No, multiple best answers, A and B could both be correct/",no,No,no,no,Multiple correct answers
086H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,85,"A 62-year-old woman is admitted to the hospital because of an 8-hour history of severe right upper abdominal pain, nausea, and fever that began after she ate fried fish and potatoes. During the past 3 years, she has had 12 episodes of similar pain after meals, but it has not lasted as long or been as severe as this episode. She has hypertension, hyperlipidemia, and alcohol use disorder. Her medications are amlodipine, benazepril, and simvastatin. She drinks  one 12-oz beer daily. She is 163 cm (5 ft 4 in) tall and weighs 86 kg (190 lb); BMI is 33 kg/m². Temperature is 38.5°C (101.3°F), pulse is 120/min, respirations are 28/min, and blood pressure is 100/68 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 98%. On abdominal examination, there is diffuse tenderness to palpation, rebound, and guarding. Bowel sounds are decreased. Laboratory studies show:

Hematocrit: 35%
Leukocyte count: 16,000/mm³
Serum
Ca²⁺: 7.9 mg/dL
Urea nitrogen: 26 mg/dL
Glucose: 200 mg/dL
Creatinine: 2 mg/dL
Triglycerides: 180 mg/dL
AST: 162 U/L
ALT: 98 U/L
Amylase: 682 U/L
Lipase: 515 U/L (N=14–280)

Serum electrolyte concentrations and lactate dehydrogenase activities are within the reference ranges. Which of the Following is the most appropriate next step in diagnosis?

(A) CT scan of the abdomen
(B) Endoscopic retrograde cholangiopancreatography
(C) MR cholangiopancreatography
(D) MRI of the pancreas
(E) Ultrasonography of the right upper abdominal quadrant",E,human,GPT,1 beer daily isn't alcohol use disorder. Option D is odd- you don't get MRIs of the pancrease.,GPT,"missing bilirubin, which would be major clue on how much workup for potential cholangitis is needed..",human,,GPT,FALSE,,,,,,,,,,,,,,,,,
042H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,91,"Five days after admission to the hospital for management of an ST-elevation myocardial infarction, a 59-year-old man has the sudden onset of severe abdominal and bilateral lower extremity pain, cyanosis of the lower body, and paresthesias. On hospital days 1 and 2, he received vasopressor and inotropic therapy. On hospital day 2, echocardiography showed extensive anterolateral akinesis of the left ventricle. He has no history of serious illness. His medications are metoprolol, lisinopril, simvastatin, and dalteparin. He appears to be in acute distress. Pulse is 105/min and regular, respirations are 24/min, and blood pressure is 80/60 mm Hg. Examination shows lower body cyanosis to the level of the costal margins. Crackles are heard over the lower lung fields bilaterally. Distant heart sounds but no murmurs are heard. The abdomen is nondistended and nontender. Pulses are 1+ in the upper extremities and absent in the lower extremities. Muscle strength is 3/5 in the lower extremities. Sensation to touch and temperature is decreased over the lower extremities. ECG shows sinus tachycardia. Which of the following is the most likely explanation for this patient’s clinical findings?

(A) Aortic dissection
(B) Aortic embolism
(C) Pericardial tamponade
(D) Right ventricular failure
(E) Ventricular rupture",B,human,GPT,"No history of serious illness, yet is taking meds for hypertension, hypercholesterolemia. I'd also expect HR to be higher. And decreased sensation for cardiac issues (which all the options are) doesn't make sense",GPT,story is all over the place,GPT,"Bad answer choices. option C is a common finding in patients with E. ventricular rupture is a common complication of acute MI, fits the time frame however this patient also has evidence of pericardial tamonade which in and of itself is a complication of the ventricular rupture",GPT,FALSE,,,,,,,,,,,,,,,,,
036G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,93,"A 35-year-old woman presents to the emergency department with severe abdominal pain, nausea, vomiting, and diarrhea for the past 24 hours. She has a history of type 1 diabetes mellitus and is on insulin therapy. Her vital signs are: temperature 39.2°C (102.6°F), heart rate 125/min, respiratory rate 24/min, and blood pressure 90/60 mm Hg. Physical examination reveals diffuse abdominal tenderness and guarding. Laboratory studies show:

Blood Glucose: 520 mg/dL
Serum Sodium: 130 mEq/L
Serum Potassium: 5.5 mEq/L
Serum Bicarbonate: 12 mEq/L
Blood pH: 7.2
Serum Anion Gap: 26 mEq/L
Urinalysis: positive for glucose and ketones

Which of the following is the most appropriate initial management for this patient?

(A) Begin continuous intravenous infusion of regular insulin
(B) Administer a 1-L bolus of 0.9% saline
(C) Administer intravenous potassium chloride
(D) Start intravenous antibiotics
(E) Administer subcutaneous rapid-acting insulin",B,GPT,human,,human,,human,,human,FALSE,,,,,,0,yes,yes,yes,yes,,,,,,yes,
007H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,94,"A 27-year-old primigravid woman comes to the physician for her first prenatal visit 10 weeks after a home pregnancy test was positive. She feels well, and her pregnancy has been uncomplicated. She previously used an oral contraceptive but discontinued it 3 months ago. She has no history of sexually transmitted diseases. She is sexually active in a monogamous relationship with a male partner who is the father. She has had five lifetime sexual partners. She has a pet cat. Examination shows a uterus consistent in size with a 10-week gestation. Testing for which of the following infectious conditions is the most appropriate recommendation for this patient?

(A) Bacterial vaginosis
(B) Cytomegalovirus
(C) Epstein-Barr virus
(D) HIV
(E) Human papillomavirus",D,human,human,,human,,human,,human,TRUE,,,,,,,,,,,,,,,,,
116H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,95,"A 15-year-old girl is brought to the office because she has never had a menstrual period. She has no history of serious illness and receives no medications. Growth and development are appropriate for age. Breast development began at the age of 10 years. She has never been sexually active. She is at the 90th percentile for height, 75th percentile for weight, and 69th percentile for BMI. Sexual maturity rating is 4 for breast development. Pelvic examination shows a normal-appearing vagina; the cervix and uterus cannot be palpated. Her serum testosterone concentration is 340 ng/dL (N=5–40). Serum concentrations of luteinizing hormone, follicle stimulating hormone, thyroid-stimulating hormone, 17α-hydroxyprogesterone, and prolactin are within the reference ranges. Serum β-hCG testing is negative. Pelvic ultrasonography shows no uterus. Her karyotype is 46,XY. Which of the following is the most appropriate next step in management?

(A) Estrogen and progestin therapy
(B) Gonadectomy
(C) Gonadotropin-releasing hormone agonist therapy
(D) Progestin therapy only
(E) No further management is indicated",B,human,human,,GPT,I think therapy would depend on goals..? this girl is never going to have a menstrual period so not sure what this is treating..,human,,human,TRUE,,,,,,,,,,,,,,,,,
111H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,98,"A 32-year-old man comes to the office because of a 2-day history of redness of the right eye. He has not had sensitivity to light or the sensation of a foreign body in the eye. He has no history of serious illness and takes no medications. Examination of the right eye shows erythema and clear discharge. Examination of the left eye shows no abnormalities. The physician prescribes ketorolac ophthalmic solution. Which of the following is the most appropriate way for the physician to write the prescription?

(A) Ketorolac 0.5% solution, 1 drop in right eye, four times daily
(B) Ketorolac .5% solution, 1 drop in right eye QID
(C) Ketorolac 0.5% solution, 1 drop OD four times daily
(D) Ketorolac 0.5% solution, 1 drop OD, QID",A,human,GPT,"Nitpicky, they're all meaningfully the same",GPT,seems trivial if testing whether or. not to use abbreviations..,human,,GPT,FALSE,,,,,,,,,,,,,,,,,
106H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,99,"A 27-year-old man comes to the physician because of a 1-month history of progressive fatigue and episodes of moderate abdominal pain. He has a 4-year history of recurrent nosebleeds that have increased in frequency despite undergoing cauterization of the nasal mucosa 6 months ago. He takes no medications. His sister has anemia associated with recurrent nosebleeds and heavy menstrual periods; she also had postpartum hemorrhage that required transfusion. The patient's vital signs are within normal limits. Examination shows pallor; no other abnormalities are noted. Laboratory studies show:

Hemoglobin: 7.1 g/dL
Erythrocyte count: 2.1 million/mm³
Leukocyte count: 13,500/mm³
Platelet count: 250,000/mm³
Prothrombin time: 12 sec (INR=1)
Partial thromboplastin time: 45 sec

Which of the following is the most likely diagnosis?

(A) Bernard-Soulier syndrome
(B) Glanzmann thrombasthenia
(C) Hemophilia A
(D) Hereditary hemorrhagic telangiectasia
(E) von Willebrand disease",E,human,human,,human,,human,,human,TRUE,,,,,,,,,,,,,,,,,
072H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,113,"A 3-week-old boy is brought to the physician by his mother because of a 5-day history of yellow eyes and skin and white stools. Pregnancy and delivery were uncomplicated. The patient's temperature is 37.1°C (98.8°F), pulse is 160/min, respirations are 40/min, and blood pressure is 85/50 mm Hg. Examination shows diffuse jaundice. Cardiopulmonary examination shows no abnormalities. The abdomen is nontender. The liver edge is palpated 4 cm below the right costal margin. The spleen tip is palpated 3 cm below the left costal margin. Laboratory studies show:

Leukocyte count: 10,000/mm³
Serum
  Bilirubin, total: 16 mg/dL
    Direct: 12 mg/dL
  AST: 800 U/L
  ALT: 500 U/L
  Amylase: 100 U/L

Which of the following is the most appropriate next step in diagnosis?

(A) Air-contrast enema
(B) Ultrasonography of the abdomen
(C) Upper gastrointestinal series
(D) Colonoscopy
(E) Esophagogastroduodenoscopy",B,human,human,,human,,GPT,The answer choices except for US overall seem aggressive for a 3 week old,human,TRUE,,,,,,,,,,,,,,,,,
031G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,114,"A 27-year-old woman presents to the clinic with a 3-day history of painful urination and increased urinary frequency. She reports no fever, chills, or flank pain. Physical examination reveals no costovertebral angle tenderness. Urinalysis shows pyuria, bacteriuria, and a positive nitrite test. Which of the following is the most appropriate empirical treatment for this patient's condition?

(A) Ciprofloxacin
(B) Levofloxacin
(C) Nitrofurantoin
(D) Trimethoprim-sulfamethoxazole
(E) Vancomycin",C,GPT,GPT,Missing info about past medical history - we need reassurance that she doesn't have medical complexities,human,,human,,human,FALSE,,,,,,2,yes,yes,yes,yes,,,,,,yes,
