item_num,gt_answer,model,model_answer
037G,C,llama-2-7b-chat_huggingface,C
059G,C,llama-2-7b-chat_huggingface,B
110H,E,llama-2-7b-chat_huggingface,B
065H,E,llama-2-7b-chat_huggingface,C
028G,C,llama-2-7b-chat_huggingface,C
091G,C,llama-2-7b-chat_huggingface,C
049H,D,llama-2-13b-chat_huggingface,D
006H,A,llama-2-13b-chat_huggingface,A
027G,D,llama-2-13b-chat_huggingface,B
118H,D,llama-2-13b-chat_huggingface,B
079H,A,llama-2-13b-chat_huggingface,C
061G,E,llama-2-13b-chat_huggingface,A
057H,E,llama-2-13b-chat_huggingface,E
104G,B,llama-2-13b-chat_huggingface,B
081H,B,llama-2-13b-chat_huggingface,B
106G,D,llama-2-13b-chat_huggingface,D
067G,B,llama-2-13b-chat_huggingface,C
077G,C,llama-2-13b-chat_huggingface,B
037H,A,llama-2-13b-chat_huggingface,A
042G,A,llama-2-13b-chat_huggingface,A
120G,A,llama-2-13b-chat_huggingface,A
036H,D,llama-2-13b-chat_huggingface,D
066H,E,llama-2-13b-chat_huggingface,C
062G,D,llama-2-13b-chat_huggingface,E
013G,C,llama-2-13b-chat_huggingface,C
063H,E,llama-2-13b-chat_huggingface,B
097H,B,llama-2-13b-chat_huggingface,B
073G,B,llama-2-13b-chat_huggingface,B
043H,B,llama-2-13b-chat_huggingface,B
066G,B,llama-2-13b-chat_huggingface,B
104H,A,llama-2-13b-chat_huggingface,C
086G,D,llama-2-13b-chat_huggingface,D
083G,B,llama-2-13b-chat_huggingface,B
045H,C,llama-2-13b-chat_huggingface,B
089G,B,llama-2-13b-chat_huggingface,B
032G,C,llama-2-13b-chat_huggingface,C
099H,A,llama-2-13b-chat_huggingface,C
027H,E,llama-2-13b-chat_huggingface,D
100H,C,llama-2-13b-chat_huggingface,C
035G,B,llama-2-13b-chat_huggingface,D
068G,C,llama-2-13b-chat_huggingface,F
065G,C,llama-2-13b-chat_huggingface,C
006G,B,llama-2-13b-chat_huggingface,E
086H,E,llama-2-13b-chat_huggingface,A
042H,B,llama-2-13b-chat_huggingface,A
036G,B,llama-2-13b-chat_huggingface,A
007H,D,llama-2-13b-chat_huggingface,A
116H,B,llama-2-13b-chat_huggingface,B
111H,A,llama-2-13b-chat_huggingface,C
106H,E,llama-2-13b-chat_huggingface,E
072H,B,llama-2-13b-chat_huggingface,B
031G,C,llama-2-13b-chat_huggingface,C
061H,E,llama-2-13b-chat_huggingface,B
022H,A,llama-2-13b-chat_huggingface,D
040H,C,llama-2-13b-chat_huggingface,C
091H,A,llama-2-13b-chat_huggingface,B
007G,D,llama-2-13b-chat_huggingface,D
049G,A,llama-2-13b-chat_huggingface,A
110G,E,llama-2-13b-chat_huggingface,E
075G,C,llama-2-13b-chat_huggingface,E
059H,E,llama-2-13b-chat_huggingface,D
057G,A,llama-2-13b-chat_huggingface,B
043G,A,llama-2-13b-chat_huggingface,C
116G,B,llama-2-13b-chat_huggingface,B
077H,C,llama-2-13b-chat_huggingface,C
100G,B,llama-2-13b-chat_huggingface,B
118G,F,llama-2-13b-chat_huggingface,F
097G,B,llama-2-13b-chat_huggingface,B
039G,B,llama-2-13b-chat_huggingface,A
111G,A,llama-2-13b-chat_huggingface,C
031H,D,llama-2-13b-chat_huggingface,C
102G,D,llama-2-13b-chat_huggingface,D
105H,D,llama-2-13b-chat_huggingface,B
099G,B,llama-2-13b-chat_huggingface,B
098G,B,llama-2-13b-chat_huggingface,B
009G,B,llama-2-13b-chat_huggingface,C
035H,C,llama-2-13b-chat_huggingface,B
039H,C,llama-2-13b-chat_huggingface,C
075H,D,llama-2-13b-chat_huggingface,D
040G,B,llama-2-13b-chat_huggingface,B
009H,C,llama-2-13b-chat_huggingface,B
089H,A,llama-2-13b-chat_huggingface,A
079G,C,llama-2-13b-chat_huggingface,C
068H,D,llama-2-13b-chat_huggingface,B
102H,A,llama-2-13b-chat_huggingface,E
105G,B,llama-2-13b-chat_huggingface,B
028H,C,llama-2-13b-chat_huggingface,D
073H,D,llama-2-13b-chat_huggingface,E
067H,E,llama-2-13b-chat_huggingface,E
045G,B,llama-2-13b-chat_huggingface,B
022G,B,llama-2-13b-chat_huggingface,B
098H,B,llama-2-13b-chat_huggingface,C
013H,B,llama-2-13b-chat_huggingface,C
063G,E,llama-2-13b-chat_huggingface,D
062H,E,llama-2-13b-chat_huggingface,B
072G,B,llama-2-13b-chat_huggingface,E
083H,D,llama-2-13b-chat_huggingface,A
120H,F,llama-2-13b-chat_huggingface,B
081G,B,llama-2-13b-chat_huggingface,B
032H,B,llama-2-13b-chat_huggingface,B
037G,C,llama-2-13b-chat_huggingface,C
059G,C,llama-2-13b-chat_huggingface,B
110H,E,llama-2-13b-chat_huggingface,B
065H,E,llama-2-13b-chat_huggingface,C
028G,C,llama-2-13b-chat_huggingface,C
091G,C,llama-2-13b-chat_huggingface,C
049H,D,AlpaCare-llama2-7b,B
006H,A,AlpaCare-llama2-7b,D
027G,D,AlpaCare-llama2-7b,B
118H,D,AlpaCare-llama2-7b,B
079H,A,AlpaCare-llama2-7b,E
061G,E,AlpaCare-llama2-7b,A
057H,E,AlpaCare-llama2-7b,B
104G,B,AlpaCare-llama2-7b,B
081H,B,AlpaCare-llama2-7b,B
106G,D,AlpaCare-llama2-7b,D
067G,B,AlpaCare-llama2-7b,B
077G,C,AlpaCare-llama2-7b,B
037H,A,AlpaCare-llama2-7b,A
042G,A,AlpaCare-llama2-7b,A
120G,A,AlpaCare-llama2-7b,A
036H,D,AlpaCare-llama2-7b,B
066H,E,AlpaCare-llama2-7b,C
062G,D,AlpaCare-llama2-7b,C
013G,C,AlpaCare-llama2-7b,C
063H,E,AlpaCare-llama2-7b,A
097H,B,AlpaCare-llama2-7b,B
073G,B,AlpaCare-llama2-7b,A
043H,B,AlpaCare-llama2-7b,B
066G,B,AlpaCare-llama2-7b,B
104H,A,AlpaCare-llama2-7b,A
086G,D,AlpaCare-llama2-7b,C
083G,B,AlpaCare-llama2-7b,B
045H,C,AlpaCare-llama2-7b,C
089G,B,AlpaCare-llama2-7b,A
032G,C,AlpaCare-llama2-7b,C
099H,A,AlpaCare-llama2-7b,C
027H,E,AlpaCare-llama2-7b,B
100H,C,AlpaCare-llama2-7b,B
035G,B,AlpaCare-llama2-7b,C
068G,C,AlpaCare-llama2-7b,B
065G,C,AlpaCare-llama2-7b,C
006G,B,AlpaCare-llama2-7b,E
086H,E,AlpaCare-llama2-7b,B
042H,B,AlpaCare-llama2-7b,A
036G,B,AlpaCare-llama2-7b,A
007H,D,AlpaCare-llama2-7b,B
116H,B,AlpaCare-llama2-7b,B
111H,A,AlpaCare-llama2-7b,B
106H,E,AlpaCare-llama2-7b,B
072H,B,AlpaCare-llama2-7b,B
031G,C,AlpaCare-llama2-7b,C
061H,E,AlpaCare-llama2-7b,A
022H,A,AlpaCare-llama2-7b,A
040H,C,AlpaCare-llama2-7b,B
091H,A,AlpaCare-llama2-7b,A
007G,D,AlpaCare-llama2-7b,B
049G,A,AlpaCare-llama2-7b,A
110G,E,AlpaCare-llama2-7b,E
075G,C,AlpaCare-llama2-7b,C
059H,E,AlpaCare-llama2-7b,D
057G,A,AlpaCare-llama2-7b,B
043G,A,AlpaCare-llama2-7b,A
116G,B,AlpaCare-llama2-7b,A
077H,C,AlpaCare-llama2-7b,D
100G,B,AlpaCare-llama2-7b,B
118G,F,AlpaCare-llama2-7b,E
097G,B,AlpaCare-llama2-7b,B
039G,B,AlpaCare-llama2-7b,A
111G,A,AlpaCare-llama2-7b,A
031H,D,AlpaCare-llama2-7b,C
102G,D,AlpaCare-llama2-7b,D
105H,D,AlpaCare-llama2-7b,E
099G,B,AlpaCare-llama2-7b,B
098G,B,AlpaCare-llama2-7b,B
009G,B,AlpaCare-llama2-7b,B
035H,C,AlpaCare-llama2-7b,C
039H,C,AlpaCare-llama2-7b,C
075H,D,AlpaCare-llama2-7b,B
040G,B,AlpaCare-llama2-7b,B
009H,C,AlpaCare-llama2-7b,C
089H,A,AlpaCare-llama2-7b,A
079G,C,AlpaCare-llama2-7b,C
068H,D,AlpaCare-llama2-7b,A
102H,A,AlpaCare-llama2-7b,E
105G,B,AlpaCare-llama2-7b,B
028H,C,AlpaCare-llama2-7b,C
073H,D,AlpaCare-llama2-7b,B
067H,E,AlpaCare-llama2-7b,A
045G,B,AlpaCare-llama2-7b,B
022G,B,AlpaCare-llama2-7b,B
098H,B,AlpaCare-llama2-7b,B
013H,B,AlpaCare-llama2-7b,B
063G,E,AlpaCare-llama2-7b,A
062H,E,AlpaCare-llama2-7b,B
072G,B,AlpaCare-llama2-7b,A
083H,D,AlpaCare-llama2-7b,D
120H,F,AlpaCare-llama2-7b,A
081G,B,AlpaCare-llama2-7b,B
032H,B,AlpaCare-llama2-7b,B
037G,C,AlpaCare-llama2-7b,C
059G,C,AlpaCare-llama2-7b,B
110H,E,AlpaCare-llama2-7b,A
065H,E,AlpaCare-llama2-7b,C
028G,C,AlpaCare-llama2-7b,C
091G,C,AlpaCare-llama2-7b,C
049H,D,AlpaCare-llama2-13b,D
006H,A,AlpaCare-llama2-13b,A
027G,D,AlpaCare-llama2-13b,D
118H,D,AlpaCare-llama2-13b,B
079H,A,AlpaCare-llama2-13b,C
061G,E,AlpaCare-llama2-13b,A
057H,E,AlpaCare-llama2-13b,A
104G,B,AlpaCare-llama2-13b,B
081H,B,AlpaCare-llama2-13b,B
106G,D,AlpaCare-llama2-13b,C
067G,B,AlpaCare-llama2-13b,C
077G,C,AlpaCare-llama2-13b,B
037H,A,AlpaCare-llama2-13b,C
042G,A,AlpaCare-llama2-13b,A
120G,A,AlpaCare-llama2-13b,A
036H,D,AlpaCare-llama2-13b,D
066H,E,AlpaCare-llama2-13b,C
062G,D,AlpaCare-llama2-13b,E
013G,C,AlpaCare-llama2-13b,C
063H,E,AlpaCare-llama2-13b,B
097H,B,AlpaCare-llama2-13b,B
073G,B,AlpaCare-llama2-13b,C
043H,B,AlpaCare-llama2-13b,B
066G,B,AlpaCare-llama2-13b,B
104H,A,AlpaCare-llama2-13b,B
086G,D,AlpaCare-llama2-13b,C
083G,B,AlpaCare-llama2-13b,B
045H,C,AlpaCare-llama2-13b,C
089G,B,AlpaCare-llama2-13b,B
032G,C,AlpaCare-llama2-13b,C
099H,A,AlpaCare-llama2-13b,A
027H,E,AlpaCare-llama2-13b,E
100H,C,AlpaCare-llama2-13b,B
035G,B,AlpaCare-llama2-13b,D
068G,C,AlpaCare-llama2-13b,B
065G,C,AlpaCare-llama2-13b,C
006G,B,AlpaCare-llama2-13b,E
086H,E,AlpaCare-llama2-13b,A
042H,B,AlpaCare-llama2-13b,A
036G,B,AlpaCare-llama2-13b,A
007H,D,AlpaCare-llama2-13b,A
116H,B,AlpaCare-llama2-13b,B
111H,A,AlpaCare-llama2-13b,A
106H,E,AlpaCare-llama2-13b,E
072H,B,AlpaCare-llama2-13b,B
031G,C,AlpaCare-llama2-13b,C
061H,E,AlpaCare-llama2-13b,E
022H,A,AlpaCare-llama2-13b,A
040H,C,AlpaCare-llama2-13b,C
091H,A,AlpaCare-llama2-13b,A
007G,D,AlpaCare-llama2-13b,D
049G,A,AlpaCare-llama2-13b,E
110G,E,AlpaCare-llama2-13b,E
075G,C,AlpaCare-llama2-13b,A
059H,E,AlpaCare-llama2-13b,E
057G,A,AlpaCare-llama2-13b,A
043G,A,AlpaCare-llama2-13b,C
116G,B,AlpaCare-llama2-13b,B
077H,C,AlpaCare-llama2-13b,C
100G,B,AlpaCare-llama2-13b,B
118G,F,AlpaCare-llama2-13b,F
097G,B,AlpaCare-llama2-13b,B
039G,B,AlpaCare-llama2-13b,C
111G,A,AlpaCare-llama2-13b,B
031H,D,AlpaCare-llama2-13b,B
102G,D,AlpaCare-llama2-13b,D
105H,D,AlpaCare-llama2-13b,B
099G,B,AlpaCare-llama2-13b,A
098G,B,AlpaCare-llama2-13b,B
009G,B,AlpaCare-llama2-13b,B
035H,C,AlpaCare-llama2-13b,C
039H,C,AlpaCare-llama2-13b,C
075H,D,AlpaCare-llama2-13b,D
040G,B,AlpaCare-llama2-13b,B
009H,C,AlpaCare-llama2-13b,B
089H,A,AlpaCare-llama2-13b,A
079G,C,AlpaCare-llama2-13b,C
068H,D,AlpaCare-llama2-13b,E
102H,A,AlpaCare-llama2-13b,E
105G,B,AlpaCare-llama2-13b,A
028H,C,AlpaCare-llama2-13b,A
073H,D,AlpaCare-llama2-13b,E
067H,E,AlpaCare-llama2-13b,E
045G,B,AlpaCare-llama2-13b,B
022G,B,AlpaCare-llama2-13b,B
098H,B,AlpaCare-llama2-13b,B
013H,B,AlpaCare-llama2-13b,A
063G,E,AlpaCare-llama2-13b,A
062H,E,AlpaCare-llama2-13b,B
072G,B,AlpaCare-llama2-13b,E
083H,D,AlpaCare-llama2-13b,C
120H,F,AlpaCare-llama2-13b,A
081G,B,AlpaCare-llama2-13b,B
032H,B,AlpaCare-llama2-13b,C
037G,C,AlpaCare-llama2-13b,C
059G,C,AlpaCare-llama2-13b,B
110H,E,AlpaCare-llama2-13b,C
065H,E,AlpaCare-llama2-13b,C
028G,C,AlpaCare-llama2-13b,C
091G,C,AlpaCare-llama2-13b,C
